Name,Actual Gross Profit for Venue,Created Time,Forecast GP for Venue,EA Backport with Pivot,Count (Breakdown),Count (Sales Opportunities),SAP ACT GP FYE26,Venue Tier [Private],Venue Tier (Opps),GP Act (per Ops) [Private],GPP Act (per Finance) [Private],_record_id,Venue Type,Address,KERB Status,Sales Opportunities,Breakdown,Venue Photo,Gross Profit (from Event Reports) (from Breakdown),Gross Profit (from Breakdown),Current Sales Manager,Previous Sales Manger(s),Business Development,Venue Commission Rate,Floorpan / Venue Docs,Access Information / Nearest Tube,Guest Access Points & Staff Access Points,Access Times,Loading Bay ,Goods Lift / Stairs Only,Set Up Type?,Inside / Outside,Cooking Restrictions,Onsite Kitchen?,Food BOH Details,Cloakroom,KERB Silver Bins,Waste Removal Info,Power,Water,Venue Bar?,Bar BOH Storage,Do we need lighting for the bar?,Glassware,VRN's Required?,Staff Names Required?,Venue Contact,Department(s),Capacity,Notes,Site Restrictions,Bars,Breakdown copy,Room Hire / Rates & Capacities,Contract,Invoicing,Staff changing rooms/toilets/smoking area,Will there be an on-site H&S audit conducted by venue?,Work Requests,Fire Exit,Loading Bay Photos,Floor Restrictions?,Bar Photos,Venue Sales Representative,Staffing % Target,COGs% Target,Supplier List ,Crew Food,Link To Drive
16 Littleton Crescent,0.0,2025-03-26T17:09:01.000Z,0.0,,0,0,0.0,6 - Unranked,Unranked,0.0,0.0,reclReLPzxxa842Wh,," Harrow, London, HA1 3SX ",NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 New Burlington Place,0.0,2025-10-24T09:53:26.000Z,0.0,,0,1,0.0,6 - Unranked,Unranked,0.0,0.0,recDzqoPsHgeh1vCF,,,,recxkojdKkwM0rBw8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 Fenchurch Street,0.0,2025-09-02T12:40:11.000Z,0.0,,0,1,0.0,6 - Unranked,Unranked,0.0,0.0,rec5Ys9ZrnaJWNe2D,,,NO,reccmlc1aUBQ0xRDL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 soho square,0.0,2025-03-26T17:09:01.000Z,0.0,,0,1,0.0,6 - Unranked,Unranked,0.0,0.0,recQd6qKStA6WYRkD,,,,recMnDpzmvLqIvcbE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 Floral Street,6897.7300000000005,2025-04-17T15:17:06.000Z,3103.41,recRs8pVjSPRZyskI,1,1,6979.37,5 - Bronze,4 - Bronze,6897.7300000000005,6979.37,recDNv1Ib0aWfF3Vb,,,,rec7zA4n0GIVVp85i,reczRMUqJNV7asHc8,https://v5.airtableusercontent.com/v3/u/50/50/1770458400000/TfEijolAa7okYjw9DvLZTg/wknrLJrocuQH_itVLuiUwIiNU_o2egVuCxZy-FAvq8tj5TNPpVbZDVsO0wX-uMN5Xayb28bXyEMFJqlzX9xERItBuwYOOBIKmckh75cL4XLavrKvObN8DWPrtvmcQjWbS6xFi0YPhfCvuP2uOcw43YfIJv_kut4x4HDSmc-dgP0/32pe_7PeWyGsAmtEoU0qO3SE6N9X19vdUPaBE4JLaWc,6897.7300000000005,3103.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 Great Winchester Street,0.0,2025-03-26T17:09:01.000Z,0.0,,0,0,0.0,6 - Unranked,Unranked,0.0,0.0,recOE0HG2XDiKF8f5,,"21 Great Winchester Street, London, EC2N 2JA
",NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 Soho Square,0.0,2025-03-26T17:09:01.000Z,0.0,,0,0,0.0,6 - Unranked,Unranked,0.0,0.0,recXb0qyYbFTLchYk,,"21 soho square, London W1D 3QP",NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 West Street,0.0,2025-03-26T17:09:01.000Z,0.0,,0,0,0.0,6 - Unranked,Unranked,0.0,0.0,recAv7NyC2kMF9v1j,,"24 West Street, London, WC2H 9NA",NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26 Leake Street,15530.649999999998,2025-03-26T17:09:01.000Z,10100.0,"reclfK4eAUSUv3sq3, rec0uCvQbheuehlO9",2,13,15506.62,5 - Bronze,4 - Bronze,15530.649999999998,15506.62,recO5t8kLCgIRUmp7,Event Space,"26 Leake Street, London SE1 7NN",YES - KERB VENUE,"recDdld7uSHyEOw5j, rec2K6wcfEwgXvIJE, recuS7DpbhL6TTqih, recEUMBcIPIUiI4sA, reck0SMUhVrOW38kw, recnKh9xiTOlBEmK1, recRN0DktFLIJfGqc, recziRMCW4myfkws1, recgZ6Ath19YJtzNQ, recAYZhbh32fam13y, recofeIV2LfRI2xX6, recMUuQmjo2FlAsqU, recnsUQQs6IZuNqeS","reckUKcjmr8yUnGSt, reciOGmWWVi7GAN7f",https://v5.airtableusercontent.com/v3/u/50/50/1770458400000/c3ih_DFX697Os7yoW8P4Ww/_l1mGQFGnFAliiqvW5gpY35j4FMwcLrpOldRCT3QhWdv1-Adq8MafGHnN2Wxqq8jZgrDaWV3XRMin-fgAp-Ih_3pT7uUrp1UXaKij6aL9VNUshddfPt7RlwxZGNxh9lKkvmO-R_Uh8BzDpy3Ke1Cf29Hk4hTwXzvMNrqBgIg9wQusKCllS7yPuyX19Rrrbl0vP1-EwQAftbOpoKJAyEUTQ/xbE9dI0omdZsYPYyTnH6daJvyFsroM3zIENtfJn7sw8,"220.38999999999942, 15310.259999999998","1000, 9100",recBc7aKMdosBJ0it,reckGhkkDHOgZPduM,recVhBYNclSK7USEr,0.1,"https://v5.airtableusercontent.com/v3/u/50/50/1770458400000/1BPeZ18VLtUG3YegmlGCLg/hll98QoJJP2qbn-xWoGKzO6A8REFkZhQyLXHzg01Oh0Aas6H8i8gC2HGXiF6n5QaJCx-0qid0yJPorrDY65DBFIwmXcqbpoVk3J-7ImHiPNnM9qThHtSPGOR307dGZT5gybdGF7xYESCYJU2TirrmkmKqdfG1AElwftxg2WzVNJBAX2FEAI6Fs6Q8xY8sY_P/9qQOEcnjd5zOfsYV9yiZbc6OoeVRcOug_lanZkeivec, https://v5.airtableusercontent.com/v3/u/50/50/1770458400000/gTe9kHqHGYQ_Imi_PLuovA/qPl6OCp_kBr9JC2HqSCL_F5gpSVRi1OcPGEPadgau_yoBRYsMiZaOIS-q7tESxZ0nBBWMHZ3-0f8YOQaNxyswps25xmNZzVYcYCCn-wKLhw-McC5ms-TxlTLxMFjvakNV4gNjfVzryTsXQ7KlIjGKo9HQTzhYuyA0ZxzZtKnOmqJdvsJ131SYAgm4lQHtMkw/psq-h-doYyLT9FYRBNKkVS-qh-YBdGKe3sMpMh2aXG0, https://v5.airtableusercontent.com/v3/u/50/50/1770458400000/a5aHJi30BpiOTY9gmxvtEQ/aQF0F83oSZ3GdHNDVIu2NZkknNGeto7wMJjIXi_icFu8GSMtnUyXHzi8DLTwhHYRSafN_5b8fkY2aiDw91TpF6XAhcAQb6IA5oOTfCW7a5AdqeCDqLIamkEzHiBO4Iw0eXMuGY0KRpF05h-0Td__VBVxVR0zKkPZ-kuQbetQwVyKnb44mfnDUFYFezUbPefJ/wBS6-KoMeuaTUOW0qR5cB8bpnBOswYM0Vi46-l__J4E, https://v5.airtableusercontent.com/v3/u/50/50/1770458400000/U7cD4LYf8XzXXvp9o9P0aA/9AdrVWOGxSsY885tHkejutCV7WEJFXFi9QdX1iQr8WgzWWmP8WryoFxkrz2-Ey6j_9LZlOpbsnnw6hXO98FAy2tpSeknBrAarQ10zGUul93Twe3LLGJ348-GP9xY2YXQPuaZTG6rvMqMjPZ6EfbYHEzb2NS5ss0c9w6iuIdiSfE/CrBbYaj-oEQuho_tgeq3sPRrmpB0jVAxIOfxwqn-sDQ, https://v5.airtableusercontent.com/v3/u/50/50/1770458400000/hONwBK7w70Xe_2xmVmh6LA/CR_hpzQvat5FXt-Ks8jEZXuVcsLWqyFTvyav50s48UdDPPungZUblYF7IZJuosExoSKDyMAcWgdDcycEFhpDTZztTkii-YE7f7_XGbOKoGRYp8aO0D2PcbIo39jMYMbcMHj36EVKGCiVKAuFpP-55d7BH7OHAmb93_QuwTmzek9jTuw9FUeV9ZWlJ3Qyb7j5/xeHhmB_WlgeYbLR49d6MHmG713wIGjjC2M5rUkpO_vY, https://v5.airtableusercontent.com/v3/u/50/50/1770458400000/X359b3BUToYkJjt0JJb9-Q/n9QPYf4UO4N4A5iQAEolpvkjwDgQaUMDTm8iGZxXq0LL-anykgZagI1lBjoew6a7q7j_VBlZbQ-dalcCX4e-r7KDlFRK2rS5Y4j1gUmKKJWyPGLwx3NJ3kpsvzW7tA1XOr1QFfvJ588cgxIYw5mW3q-bqhC7p1sBzaIz1QrZOU9EW1aUYOZKug2S0wicxPcM/hikwelw6q23Tq8T0lIBVpDkc6AbAUWnRktTdtMU6JuE",Waterloo,Guests and staff all access through front doors,Event dependant - check with venue in advance,"26 Leake Street, London SE1 7NN 

**Vehicle restrictions – nothing bigger than a 7.5T vehicle.  

Traders to load in through Tunnel 3 door 
What3Words: ///circle.minute.speaks.  

This will bring you to the entry to the Leake Street Tunnel. There are two sets of barriers. The first one has a phone number which needs to be called in order to gain access - the second (lowering bollards) is an intercom in a box on the right 


KERB warehouse to load in through the rear:  
7 Addington Street 
What3Words: ticket.slam.closer ",Stairs and ramps,Gazebo Only,Inside Only,Electric hot hold only,"BOH kitchen space - check with venue if we are able to use it and what we can use but is predominatly for BOH storage and sink use.

Could be used to prep canapés most likely",Some storage in kitchen but would have to walk through guest space to access so best to have traders remain self sufficient within their set ups,Cloakroom space and kit available although at the last event (05/12/25) it was reported to be damp and muggy,Yes,Kerb to remove,Power to be sent in advanced to Vibration Production ,Yes,Bar on site - would have to check with venue if we are able to use it but historically we have brought roller units,Kitchen or stage in tunnel 2 if they screen it off with the big curtain,No,Polycarb only,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,
30 Clerkenwell Road,0.0,2025-03-26T17:09:01.000Z,0.0,,0,1,0.0,6 - Unranked,Unranked,0.0,0.0,recXwuu34ZRhWwCJ4,,"30 Clerkenwell Road, London, EC1M 5PG",NO,rec39zBLxpX89fBUD,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
